file_name,location,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_011_7_2_15_layer1,11,7/2/2015,1251.013854,1318.448526,563.5848455,143.5880817,1.51884852
BMGMC_011_7_2_15_layer1,11,7/2/2015,236.9729461,1388.99168,519.65593,195.691271,-1.469889072
BMGMC_011_7_2_15_layer1,11,7/2/2015,574.5,1286.764164,175.0315423,92.44707543,1.570796327
BMGMC_011_7_2_15_layer2,11,7/2/2015,1489,398.5,636.1599936,242.0437023,1.570796327
BMGMC_011_7_2_15_layer2,11,7/2/2015,585.9960454,343.0042719,284.523926,137.4894007,-1.382286318
BMGMC_011_7_2_15_layer2,11,7/2/2015,1087.508719,494.7307029,504.239571,195.4947348,-1.423800113
BMGMC_011_7_2_15_layer2,11,7/2/2015,315.3282557,407.06048,321.7329665,184.1323942,1.433957161
BMGMC_011_7_2_15_layer2,11,7/2/2015,1775.805217,864.6807481,284.307222,108.2922076,-1.486613032
BMGMC_011_7_2_15_layer2,11,7/2/2015,477.4198924,1029.505602,528.344885,178.0849592,-1.396198156
BMGMC_011_7_2_15_layer2,11,7/2/2015,278.9907424,987.0002032,271.7253496,155.6441654,-1.34151308
BMGMC_011_7_2_15_layer2,11,7/2/2015,878.5061325,1168.506873,561.9386904,172.0841034,1.476901512
BMGMC_011_7_2_15_layer2,11,7/2/2015,373.9831216,1532.265789,184.5114835,167.4226003,1.271070157
BMGMC_011_7_2_15_layer3,11,7/2/2015,894.157869,702.1822662,283.5720534,165.3608683,-1.569568956
BMGMC_011_7_2_15_layer3,11,7/2/2015,1432.924492,1057.320729,677.2677516,263.5897012,-1.481158179
BMGMC_012_7_2_15_layer1,12,7/2/2015,776.5000512,369.5002559,371.8214872,150.5622177,-1.429578087
BMGMC_012_7_2_15_layer1,12,7/2/2015,578.5047873,408.510718,327.8716824,115.9002854,1.46777125
BMGMC_012_7_2_15_layer1,12,7/2/2015,473.5043135,647.6027868,302.0234462,111.416469,1.496642326
BMGMC_012_7_2_15_layer1,12,7/2/2015,1660.505959,853.4922013,543.8292142,202.3042947,1.488020297
BMGMC_012_7_2_15_layer1,12,7/2/2015,1041.498825,962.5092754,625.6614474,285.0853471,1.368231223
BMGMC_012_7_2_15_layer1,12,7/2/2015,756.5,1094.5,244.6567703,199.6219621,1.570796327
BMGMC_012_7_2_15_layer1,12,7/2/2015,1375.504284,1211.499346,405.4876804,197.9168671,1.518162945
BMGMC_012_7_2_15_layer2,12,7/2/2015,663.5001763,255.4852689,363.898756,104.213082,1.474052621
BMGMC_012_7_2_15_layer2,12,7/2/2015,1529.991392,413.0413139,599.7173689,124.4921413,-1.505845485
BMGMC_012_7_2_15_layer2,12,7/2/2015,934,220,274.4536513,194.968406,-1.120351253
BMGMC_012_7_2_15_layer2,12,7/2/2015,1772.5,529.5,236.0379568,126.8390121,1.570796327
BMGMC_012_7_2_15_layer2,12,7/2/2015,1260.49583,799.4949998,673.2424711,220.4121466,-1.460537803
BMGMC_012_7_2_15_layer2,12,7/2/2015,722.4843722,843.5375031,198.3328101,136.0260329,1.358383603
BMGMC_012_7_2_15_layer2,12,7/2/2015,1823.505275,1244.495882,772.7533046,197.4690636,-1.452775008
BMGMC_012_7_2_15_layer2,12,7/2/2015,929.5,1189.5,230.7924263,102.9252806,1.522267401
BMGMC_012_7_2_15_layer2,12,7/2/2015,579.5,1339.5,256.7561607,218.6742347,1.570796327
BMGMC_012_7_2_15_layer2,12,7/2/2015,1483.999612,1350.000776,250.591925,78.55852766,-1.462756122
BMGMC_012_7_2_15_layer2,12,7/2/2015,1128.508467,1504.997124,366.5186101,114.1653527,-1.383010625
BMGMC_012_7_2_15_layer3,12,7/2/2015,890.5039591,657.4959073,526.3953504,162.8940656,-1.303471872
BMGMC_012_7_2_15_layer3,12,7/2/2015,1918.478319,725.020432,248.5445063,121.4765042,1.41497883
BMGMC_012_7_2_15_layer3,12,7/2/2015,796.4473211,1461.653678,510.4887125,219.718259,1.379631493
BMGMC_012_7_2_15_layer4,12,7/2/2015,1092.003035,408.2052333,635.8623951,178.1523804,-1.536187743
BMGMC_014_7_2_15_layer1,14,7/2/2015,344.5016278,454.7173131,601.4099509,213.6162498,-1.490465518
BMGMC_014_7_2_15_layer1,14,7/2/2015,1475.235197,347.418731,239.3395234,182.8048227,-1.122928923
BMGMC_014_7_2_15_layer1,14,7/2/2015,583.5,640.5,603.4008381,132.0627732,1.570796327
BMGMC_014_7_2_15_layer1,14,7/2/2015,1344.004818,781.0117508,622.8225342,267.6118154,1.428336902
